,Price,Rooms,Area,Floor,Max_house_floor,Year_built,Link
186,9800000,3,99.0,2,9,2009,https://www.avito.ru/perm/kvartiry/3-k._kvartira_99m_29et._2322504344
187,3070000,2,49.0,3,5,1977,https://www.avito.ru/perm/kvartiry/2-k._kvartira_49m_35et._2350526537
188,6500000,4,73.6,5,9,1982,https://www.avito.ru/perm/kvartiry/4-k._kvartira_736m_59et._2250196487
189,4350000,2,52.0,1,3,2011,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_13et._2265527837
190,2400000,1,25.3,1,3,2021,https://www.avito.ru/perm/kvartiry/kvartira-studiya_253m_57et._1965148191
191,5600000,2,52.0,5,8,1995,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_58et._2388620438
192,3650000,3,55.1,5,5,1960,https://www.avito.ru/perm/kvartiry/3-k._kvartira_551m_55et._2344912454
193,6750000,4,72.9,10,14,1981,https://www.avito.ru/perm/kvartiry/4-k._kvartira_729m_1014et._2386305165
194,1300000,1,26.4,10,14,1973,https://www.avito.ru/perm/kvartiry/kvartira-studiya_264m_25et._2375018527
195,5799999,2,60.0,6,16,2008,https://www.avito.ru/perm/kvartiry/2-k._kvartira_60m_616et._2205429963
196,2300000,2,43.4,7,9,1982,https://www.avito.ru/perm/kvartiry/2-k._kvartira_434m_79et._2397479749
197,4700000,2,54.0,8,10,2000,https://www.avito.ru/perm/kvartiry/2-k._kvartira_54m_810et._2233266982
198,3500000,3,60.0,5,5,1968,https://www.avito.ru/perm/kvartiry/3-k._kvartira_60m_55et._2273881695
199,3290000,1,31.5,2,5,1963,https://www.avito.ru/perm/kvartiry/1-k._kvartira_315m_25et._2364484186
200,2300000,1,31.9,2,5,1966,https://www.avito.ru/perm/kvartiry/1-k._kvartira_319m_25et._2391639361
201,3200000,1,32.4,5,5,1968,https://www.avito.ru/perm/kvartiry/1-k._kvartira_324m_55et._2377371244
202,6400000,2,52.0,2,6,2019,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_26et._2373201922
203,4990000,3,59.1,9,10,1994,https://www.avito.ru/perm/kvartiry/3-k._kvartira_591m_910et._2382401790
204,2375000,1,30.6,3,5,1962,https://www.avito.ru/perm/kvartiry/1-k._kvartira_306m_35et._2362968092
205,2900000,2,47.5,1,5,1972,https://www.avito.ru/perm/kvartiry/2-k._kvartira_475m_15et._2382282396
206,3900000,1,38.4,8,10,2008,https://www.avito.ru/perm/kvartiry/1-k._kvartira_384m_810et._2385409004
207,3470000,3,61.0,2,5,1964,https://www.avito.ru/perm/kvartiry/3-k._kvartira_61m_25et._2277633889
208,3400000,1,39.5,14,16,2020,https://www.avito.ru/perm/kvartiry/1-k._kvartira_395m_1416et._2345936421
209,1400000,1,17.8,14,16,1982,https://www.avito.ru/perm/kvartiry/kvartira-studiya_178m_45et._2361067427
210,4280000,2,52.0,5,12,1977,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_512et._2367475574
211,2689000,1,35.0,1,5,1965,https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_15et._2412473763
212,3850000,2,44.9,4,5,1967,https://www.avito.ru/perm/kvartiry/2-k._kvartira_449m_45et._2399402224
213,8100000,3,88.7,8,25,2009,https://www.avito.ru/perm/kvartiry/3-k._kvartira_887m_825et._2325677844
214,2730000,2,30.6,5,5,1960,https://www.avito.ru/perm/kvartiry/2-k._kvartira_306m_55et._2252440145
215,4850000,2,46.0,4,5,2019,https://www.avito.ru/perm/kvartiry/2-k._kvartira_46m_45et._2249916682
216,2240000,2,37.0,1,5,1961,https://www.avito.ru/perm/kvartiry/2-k._kvartira_37m_15et._2373478664
217,3300000,2,52.3,10,10,1991,https://www.avito.ru/perm/kvartiry/2-k._kvartira_523m_1010et._2333320770
218,1955000,2,33.8,8,9,1981,https://www.avito.ru/perm/kvartiry/2-k._kvartira_338m_89et._2381354663
219,7280000,3,83.4,2,25,2017,https://www.avito.ru/perm/kvartiry/3-k._kvartira_834m_225et._2319162581
220,3450000,1,38.4,5,19,2016,https://www.avito.ru/perm/kvartiry/1-k._kvartira_384m_519et._2373203715
221,5200000,3,56.3,2,14,1981,https://www.avito.ru/perm/kvartiry/3-k._kvartira_563m_214et._2399277686
222,4780000,3,60.2,8,9,1977,https://www.avito.ru/perm/kvartiry/3-k._kvartira_602m_89et._2357448867
223,2100000,1,31.0,3,3,1960,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_33et._2389495430
224,3600000,3,54.8,1,5,1962,https://www.avito.ru/perm/kvartiry/3-k._kvartira_548m_15et._2426886354
225,2570000,1,30.4,3,5,1972,https://www.avito.ru/perm/kvartiry/1-k._kvartira_304m_35et._2371290203
226,3300000,1,35.5,3,10,1987,https://www.avito.ru/perm/kvartiry/1-k._kvartira_355m_310et._2306745162
227,5800000,3,62.0,5,9,1970,https://www.avito.ru/perm/kvartiry/3-k._kvartira_62m_59et._2399070823
228,4550000,2,55.8,8,10,2019,https://www.avito.ru/perm/kvartiry/2-k._kvartira_558m_810et._2342648502
229,2450000,1,24.6,5,5,1982,https://www.avito.ru/perm/kvartiry/1-k._kvartira_246m_55et._2159954554
230,4700000,3,57.6,5,9,1981,https://www.avito.ru/perm/kvartiry/3-k._kvartira_576m_59et._2377542932
231,2700000,2,24.8,8,15,1985,https://www.avito.ru/perm/kvartiry/2-k._kvartira_248m_815et._2333218079
232,9999000,4,88.5,3,10,1995,https://www.avito.ru/perm/kvartiry/4-k._kvartira_885m_310et._2385838825
233,3850000,2,43.8,9,9,1981,https://www.avito.ru/perm/kvartiry/2-k._kvartira_438m_99et._2379046409
234,3450000,1,36.7,2,9,2011,https://www.avito.ru/perm/kvartiry/kvartira-studiya_367m_1316et._2338347939
235,2100000,1,30.2,2,5,1974,https://www.avito.ru/perm/kvartiry/1-k._kvartira_302m_25et._2396375163
236,4340000,3,83.5,3,3,1950,https://www.avito.ru/perm/kvartiry/3-k._kvartira_835m_33et._2214858499
